index,name,sex
550,Bridget,F
551,Mari,F
552,Patrica,F
553,Elva,F
554,Malinda,F
555,Ana,F
556,Arleen,F
557,Rene,F
558,Karon,F
559,Edwina,F
560,Jewell,F
561,Marcy,F
562,Chris,F
563,Helena,F
564,Rosanna,F
565,Melva,F
566,Suzette,F
567,Aurora,F
568,Ola,F
569,Mollie,F
570,Valorie,F
571,Cheryle,F
572,Debby,F
573,Lottie,F
574,Mickey,F
575,Eddie,F
576,Barbra,F
577,Iva,F
578,Mavis,F
579,Roxie,F
580,Alyce,F
581,Lucia,F
582,Sybil,F
583,Corrine,F
584,Sonya,F
585,Cornelia,F
586,Karyn,F
587,Opal,F
588,Dena,F
589,Ronnie,F
590,Joe,F
591,Nan,F
592,Valarie,F
593,Robert,F
594,Sydney,F
595,Colette,F
596,Karol,F
597,Randy,F
598,Alfreda,F
599,Jerri,F
600,Cecile,F
601,Katrina,F
602,Leanne,F
603,Blanca,F
604,Kathrine,F
605,Benita,F
606,Portia,F
607,Freddie,F
608,Jacalyn,F
609,Randi,F
610,Retha,F
611,Charleen,F
612,Elisabeth,F
613,Elise,F
614,Juana,F
615,Josefina,F
616,Lori,F
617,Madeleine,F
618,Effie,F
619,Gina,F
620,Pamala,F
621,Margery,F
622,May,F
623,Millie,F
624,Alana,F
625,Aleta,F
626,Carmela,F
627,Celestine,F
628,Cinda,F
629,Elnora,F
630,Lyn,F
631,Peggie,F
632,Frieda,F
633,Loraine,F
634,Marlys,F
635,Dian,F
636,Madonna,F
637,Carlotta,F
638,Freida,F
639,John,F
640,Mercedes,F
641,Michael,F
642,Katheryn,F
643,Maryjane,F
644,Tracy,F
645,Ester,F
646,Alta,F
647,Judi,F
648,Valeria,F
649,Caryn,F
650,Ophelia,F
651,Caren,F
652,Darleen,F
653,Dollie,F
654,Roxann,F
655,Sherryl,F
656,Leila,F
657,Reva,F
658,Esperanza,F
659,Kristi,F
660,Louella,F
661,Leigh,F
662,Reta,F
663,Caryl,F
664,Daryl,F
665,Hannah,F
666,Leanna,F
667,Aileen,F
668,Letha,F
669,Sharman,F
670,Ivy,F
671,Kathi,F
672,Virgie,F
673,Carmella,F
674,Dottie,F
675,Jacklyn,F
676,Janell,F
677,Kristen,F
678,Nanci,F
679,Shirlene,F
680,Allison,F
681,Angeline,F
682,Annmarie,F
683,Nell,F
684,Vickey,F
685,Cleo,F
686,Gaye,F
687,Leann,F
688,Camilla,F
689,Doretha,F
690,Felicia,F
691,Neva,F
692,Charles,F
693,Debrah,F
694,Elsa,F
695,Gerry,F
696,Tonya,F
697,Charmaine,F
698,Deanne,F
699,Imogene,F
700,Deidre,F
701,Ruthann,F
702,Avis,F
703,Lea,F
704,Roxanna,F
705,Sharen,F
706,Twila,F
707,Oralia,F
708,Vikki,F
709,Beryl,F
710,Deirdre,F
711,Denice,F
712,Goldie,F
713,Marilee,F
714,Susanna,F
715,Minerva,F
716,Elma,F
717,Greta,F
718,Carleen,F
719,Catharine,F
720,Merle,F
721,Vonda,F
722,Luann,F
723,Matilda,F
724,Carolann,F
725,Luanne,F
726,Lilly,F
727,Louisa,F
728,Mariann,F
729,Nedra,F
730,Vernell,F
731,Corliss,F
732,Evangeline,F
733,Georgianna,F
734,Ingrid,F
735,Jocelyn,F
736,Leta,F
737,Odessa,F
738,Elouise,F
739,Lorena,F
740,Lily,F
741,Clementine,F
742,David,F
743,Lucretia,F
744,Dorene,F
745,Erlinda,F
746,Ila,F
747,Kathaleen,F
748,Laureen,F
749,Angelita,F
750,Concetta,F
751,Lonnie,F
752,Rosella,F
753,Tana,F
754,Carroll,F
755,Delilah,F
756,Margret,F
757,Cassie,F
758,Lona,F
759,Petra,F
760,Winnie,F
761,Bobby,F
762,Lauretta,F
763,Sanjuanita,F
764,Callie,F
765,Darcy,F
766,Georgina,F
767,Deena,F
768,Luella,F
769,Marina,F
770,Mindy,F
771,Marleen,F
772,William,F
773,Manuela,F
774,Ronna,F
775,Shauna,F
776,Charla,F
777,Glinda,F
778,Maryjo,F
779,Meryl,F
780,Suellen,F
781,Joellen,F
782,Nannette,F
783,Wilhelmina,F
784,Adela,F
785,Eliza,F
786,Graciela,F
787,Jacquline,F
788,Justine,F
789,Bennie,F
790,Judie,F
791,Zelma,F
792,Kathlene,F
793,Winona,F
794,Corine,F
795,Georgene,F
796,Libby,F
797,Pattie,F
798,Florine,F
799,Kristie,F
800,Letitia,F
801,Wilda,F
802,Alexandra,F
803,Bethany,F
804,Cathrine,F
805,Deana,F
806,Elida,F
807,Shawn,F
808,Erica,F
809,Lindsay,F
810,Rosario,F
811,Sophie,F
812,Suzann,F
813,Elisa,F
814,Jacquelin,F
815,Jonnie,F
816,Rosita,F
817,Ardith,F
818,Maribeth,F
819,Ofelia,F
820,Susann,F
821,Mickie,F
822,Renae,F
823,Abigail,F
824,Adeline,F
825,Treva,F
826,Jerrie,F
827,Krista,F
828,Lelia,F
829,Rachelle,F
830,Rhea,F
831,Rona,F
832,Annetta,F
833,Danna,F
834,Dina,F
835,George,F
836,Leticia,F
837,Marcie,F
838,Martina,F
839,Raquel,F
840,Toby,F
841,Estela,F
842,Evangelina,F
843,Hilary,F
844,Janna,F
845,Kristy,F
846,Pansy,F
847,Rosalee,F
848,Sophia,F
849,Bonny,F
850,Carolynn,F
851,Eve,F
852,Linnea,F
853,Marybeth,F
854,Aida,F
855,Elyse,F
856,Kate,F
857,Cathey,F
858,Claudine,F
859,Donita,F
860,Harriette,F
861,Juliana,F
862,Karan,F
863,Larry,F
864,Sanjuana,F
865,Nicki,F
866,Sherilyn,F
867,Twyla,F
868,Carolina,F
869,Delphine,F
870,Kris,F
871,Lorrie,F
872,Theodora,F
873,Herlinda,F
874,Isabelle,F
875,Adrian,F
876,Charlie,F
877,Kathlyn,F
878,Kyle,F
879,Lessie,F
880,Lizabeth,F
881,Millicent,F
882,Selma,F
883,Tara,F
884,Georgiana,F
885,Hester,F
886,Mitzi,F
887,Nancie,F
888,Zelda,F
889,Annabelle,F
890,Mimi,F
891,Olive,F
892,Phoebe,F
893,Silvia,F
894,Francisca,F
895,Rebekah,F
896,Rowena,F
897,Sammie,F
898,Terese,F
899,Belva,F
900,Fran,F
901,Gearldine,F
902,Juliette,F
903,Kelly,F
904,Lorine,F
905,Margot,F
906,Pamella,F
907,Veda,F
908,Danielle,F
909,Jerilyn,F
910,Melodie,F
911,Richard,F
912,Aurelia,F
913,Magdalena,F
914,Margarett,F
915,Aline,F
916,Candis,F
917,Delma,F
918,Donnie,F
919,Juliet,F
920,Mara,F
921,Phillis,F
922,Tammy,F
923,Vernice,F
924,Alene,F
925,Cristina,F
926,Juliann,F
927,Pennie,F
928,Enid,F
929,Glynda,F
930,Karolyn,F
931,Kendra,F
932,Nicolette,F
933,Norene,F
934,Roselyn,F
935,Socorro,F
936,Clarissa,F
937,Geri,F
938,Marianna,F
939,Merrie,F
940,Nannie,F
941,Rosann,F
942,Vanessa,F
943,Vonnie,F
944,Allie,F
945,Sheron,F
946,Shirlee,F
947,Charolette,F
948,Debbra,F
949,Dorinda,F
950,Joycelyn,F
951,Lavon,F
952,Lindy,F
953,Lucile,F
954,Nicole,F
955,Shellie,F
956,Velda,F
957,Zella,F
958,Annamarie,F
959,Ernestina,F
960,Jannette,F
961,Jeanetta,F
962,Jenifer,F
963,Leora,F
964,Luz,F
965,Marjory,F
966,Marlyn,F
967,Norine,F
968,Rachael,F
969,Sandi,F
970,Albertha,F
971,Amber,F
972,Elinor,F
973,Flossie,F
974,Jodie,F
975,Lourdes,F
976,Stacey,F
977,Carmelita,F
978,Cheryll,F
979,Cordelia,F
980,Darline,F
981,Elissa,F
982,Geralyn,F
983,Jaclyn,F
984,Janey,F
985,Marty,F
986,Tracey,F
987,Carrol,F
988,Emilie,F
989,Evon,F
990,Kathyrn,F
991,Leslee,F
992,Lolita,F
993,Maude,F
994,Regenia,F
995,Thea,F
996,Evonne,F
997,Janeen,F
998,Noel,F
999,Susana,F
1000,Gaynell,F
1001,Karyl,F
1002,Laurene,F
1003,Lavern,F
1004,Pearline,F
1005,Thomas,F
1006,Trina,F
1007,Candyce,F
1008,Deann,F
1009,Edythe,F
1010,Gwenda,F
1011,Joleen,F
1012,Laraine,F
1013,Lawanda,F
1014,Marita,F
1015,Melvina,F
1016,Lorelei,F
1017,Alva,F
1018,Arline,F
1019,Drucilla,F
1020,Georgeann,F
1021,Georgie,F
1022,Jeraldine,F
1023,Maura,F
1024,Niki,F
1025,Berta,F
1026,Gene,F
1027,Gussie,F
1028,Jacqulyn,F
1029,Joetta,F
1030,Lonna,F
1031,Marilou,F
1032,Phylis,F
1033,Allene,F
1034,Nila,F
1035,Pauletta,F
1036,Roma,F
1037,Sidney,F
1038,Trudi,F
1039,Venita,F
1040,Annemarie,F
1041,Charline,F
1042,Ellyn,F
1043,Jann,F
1044,Kathern,F
1045,Lidia,F
1046,Lorie,F
1047,Lura,F
1048,Marylin,F
1049,Theda,F
1050,Ursula,F
1051,Collette,F
1052,Drema,F
1053,Erin,F
1054,Fonda,F
1055,Francene,F
1056,Katy,F
1057,Lani,F
1058,Louann,F
1059,Maurine,F
1060,Sharleen,F
1061,Starr,F
1062,Vida,F
1063,Allyson,F
1064,Germaine,F
1065,Ginny,F
1066,Karlene,F
1067,Luana,F
1068,Pamelia,F
1069,Shiela,F
1070,Suzanna,F
1071,Tonia,F
1072,Angelia,F
1073,Dessie,F
1074,Joette,F
1075,Leilani,F
1076,Christi,F
1077,Elvia,F
1078,Gaylene,F
1079,Janel,F
1080,Jodi,F
1081,Adrianne,F
1082,Brinda,F
1083,Christa,F
1084,Daria,F
1085,Ilona,F
1086,Leatha,F
1087,Louvenia,F
1088,Sharyl,F
1089,Ardis,F
1090,Dorcas,F
1091,Hollis,F
1092,Hortencia,F
1093,Idella,F
1094,Iona,F
1095,Leonora,F
1096,Ricki,F
1097,Stacy,F
1098,Bernita,F
1099,Bettina,F
1100,Cara,F
1101,Cherrie,F
1102,Cristine,F
1103,Darnell,F
1104,Ivory,F
1105,Romona,F
1106,Serena,F
1107,Vernita,F
